title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
前端工程师,25k-35k,北京 朝阳区 望京,1-3年,本科,猿辅导,在线教育,D轮及以上,1000-9999人,王先生,HRBP
web前端（长春）,5k-8k,长春  ,1-3年,本科,宇信科技,计算机软件,已上市,1000-9999人,周女士,招聘顾问
前端架构师,20k-30k,北京 朝阳区 望京,5-10年,本科,容联云通讯,互联网,C轮,1000-9999人,王女士,招聘者
前端架构师,20k-40k,北京  ,5-10年,本科,京东集团,电子商务,已上市,10000人以上,李先生,研发经理
前端工程师,13k-20k,北京 海淀区 上地,3-5年,本科,点点未来,移动互联网,B轮,100-499人,王女士,招聘主管
高级前端工程师,20k-35k·15薪,北京 东城区 北新桥,5-10年,本科,松鼠拼拼,移动互联网,B轮,1000-9999人,陈女士,招聘专员
web前端,12k-24k,南京 玄武区 仙鹤门,3-5年,大专,Suning,批发/零售,已上市,10000人以上,朱先生,经理
前端工程师,12k-20k,深圳 龙岗区 坂田,3-5年,本科,开思时代,移动互联网,C轮,1000-9999人,李先生,ERP研发
web前端,8k-16k,西安 雁塔区 ,3-5年,本科,中软国际,计算机软件,已上市,1000-9999人,康女士,HR
web前端,20k-30k,北京 海淀区 马连洼,1-3年,本科,百度在线,互联网,不需要融资,10000人以上,任先生,技术经理
前端工程师,20k-40k,北京 朝阳区 太阳宫,3-5年,本科,Boss直聘,人力资源服务,D轮及以上,1000-9999人,韩女士,HRBP
前端工程师,10k-20k,深圳 福田区 购物公园,3-5年,大专,紫川软件,计算机软件,未融资,500-999人,罗女士,招聘专员
Web前端,16k-20k,上海 浦东新区 潍坊,3-5年,本科,法本信息,互联网,已上市,1000-9999人,李先生,招聘专员
前端开发工程师,20k-40k,杭州 余杭区 仓前,3-5年,本科,阿里巴巴集团,互联网,不需要融资,10000人以上,章先生,产品
前端工程师,12k-20k,济南  ,1-3年,大专,开创云,互联网,不需要融资,1000-9999人,陈女士,项目管理部经理
前端开发,7k-12k,合肥  ,1-3年,本科,网达软件,计算机软件,已上市,1000-9999人,王女士,人事专员
H5前端,15k-30k,上海 浦东新区 张江,3-5年,大专,WiFi万能钥匙,互联网,B轮,1000-9999人,梁女士,招聘者
web前端,12k-20k,杭州  ,3-5年,本科,浙江大华,互联网,已上市,10000人以上,马先生,web开发工程师
前端工程师,6k-12k,长沙  ,经验不限,本科,中惠旅,旅游,已上市,1000-9999人,吴女士,人事
前端开发工程师,10k-20k,南京 建邺区 奥体,3-5年,本科,南京烽火,信息安全,不需要融资,1000-9999人,董先生,招聘
前端web工程师,8k-15k,苏州 吴中区 跨塘,3-5年,本科,神州数码,计算机软件,已上市,10000人以上,张女士,招聘专员
前端工程师,10k-15k,杭州 余杭区 仓前,3-5年,学历不限,杭州七创科技有限公司,互联网,A轮,20-99人,熊女士,人力资源经理
web前端,25k-35k,深圳 南山区 深圳湾,3-5年,本科,蚂蚁金服,互联网,C轮,10000人以上,陈先生,前端开发
高级前端开发,20k-40k,北京 朝阳区 望京,1-3年,本科,猿辅导,在线教育,D轮及以上,1000-9999人,刘女士,招聘者
PHP前端,6k-11k,重庆 渝中区 大坪,1-3年,学历不限,Tell Love,O2O,不需要融资,100-499人,谭女士,总经理
前端工程师(J11838),30k-50k,北京 昌平区 回龙观,3-5年,本科,传智播客,在线教育,已上市,1000-9999人,张先生,招聘者
前端工程师,15k-25k,杭州 西湖区 西湖,3-5年,学历不限,爱库存,互联网,B轮,1000-9999人,李先生,招聘经理
前端工程师,6k-9k,青岛  ,1-3年,本科,青岛中瑞集团,互联网,不需要融资,1000-9999人,安先生,用户体验部经理
web前端,20k-40k,上海 普陀区 长征,3-5年,学历不限,饿了么,O2O,不需要融资,10000人以上,王先生,招聘者
前端,10k-20k,深圳 龙岗区 坂田,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,魏女士,招聘经理
web前端,10k-15k,东莞  ,3-5年,本科,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,李女士,高级招聘顾问
前端工程师,15k-25k,深圳 南山区 科技园,3-5年,本科,随手科技,互联网,C轮,1000-9999人,刘女士,HR
前端,10k-20k,北京 海淀区 西二旗,经验不限,本科,北大方正电子,计算机软件,已上市,1000-9999人,顾先生,前端架构师
web前端,9k-16k,上海 静安区 汶水路,1-3年,本科,卫宁健康,计算机软件,已上市,1000-9999人,张先生,开发经理
前端工程师,20k-40k,上海 杨浦区 五角场,3-5年,本科,vmware,计算机软件,已上市,10000人以上,,Recruiter
前端工程师,8k-12k,上海 浦东新区 外高桥,1-3年,本科,宇信科技,计算机软件,已上市,1000-9999人,王女士,HR
web前端,30k-50k,北京 海淀区 中关村,5-10年,本科,汽车之家,互联网,已上市,1000-9999人,陈先生,大数据平台产品经理
前端工程师,7k-12k,南京 雨花台区 安德门,3-5年,大专,纬创软件,计算机软件,已上市,1000-9999人,,招聘专员
web前端,10k-15k,上海 杨浦区 五角场,3-5年,本科,建朗科技,计算机软件,不需要融资,100-499人,杨女士,行政人事
前端,15k-30k,北京  ,3-5年,本科,上海弘雅,计算机软件,不需要融资,100-499人,吴女士,招聘主管
前端,9k-14k,南京  ,3-5年,大专,法本信息,互联网,已上市,1000-9999人,吴女士,招聘主管
前端开发工程师,20k-40k,深圳 龙岗区 坂田,3-5年,本科,华为技术有限公司,计算机软件,不需要融资,10000人以上,林女士,软件开发工程师
