title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
嵌入式,8k-15k,北京 海淀区 苏州桥,1-3年,本科,Aeroband空气拨片,智能硬件,天使轮,0-20人,牛先生,CEO
嵌入式工程师,10k-20k,宁波 海曙区 ,3-5年,本科,智客电子,智能硬件,未融资,20-99人,闻先生,总经理
嵌入式开发,8k-13k,宁波 宁海县 ,经验不限,本科,得力集团,贸易/进出口,不需要融资,1000-9999人,潘女士,HR
嵌入式,13k-26k,深圳 宝安区 新安,3-5年,大专,拓思迪科技,智能硬件,未融资,20-99人,尹先生,总经理
嵌入式软件工程师,6k-11k,珠海  ,1-3年,本科,海富思科技,计算机软件,未融资,20-99人,李女士,经理
嵌入式 C Linux 软件开发,12k-18k,深圳 龙岗区 坂田,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,张女士,HR
嵌入式工程师,10k-15k,北京  ,1-3年,本科,航天易联,其他行业,未融资,100-499人,张先生,产品经理
嵌入式,15k-20k,深圳 南山区 西丽,3-5年,本科,易联视通,智能硬件,A轮,0-20人,黄先生,CEO
嵌入式,10k-12k,深圳 宝安区 沙井,3-5年,本科,合盛航,智能硬件,不需要融资,100-499人,李先生,招聘者
嵌入式,5k-8k,长春  ,1-3年,本科,恒致通创,智能硬件,未融资,20-99人,霍女士,人事
嵌入式工程师,5k-8k,重庆 九龙坡区 杨家坪,经验不限,本科,鼎奕科技,汽车生产,A轮,100-499人,冯先生,研发总监
嵌入式,5k-10k,厦门 集美区 灌口,3-5年,本科,立林电气,电子/半导体/集成电路,不需要融资,100-499人,闫女士,HR
嵌入式软件,7k-12k,成都  ,1-3年,本科,特思拓信息科技,移动互联网,A轮,20-99人,,人事经理
嵌入式,10k-20k,深圳 坪山区 坪山,1-3年,本科,绿里生态,互联网,A轮,20-99人,孙先生,CTO
嵌入式软件工程师,13k-26k,深圳 南山区 科技园,1年以内,本科,国微电子,通信/网络设备,已上市,500-999人,熊先生,招聘者
嵌入式,4k-5k,北京 顺义区 马坡,1年以内,大专,托瑞图科技,仪器仪表/工业自动化,不需要融资,0-20人,刘先生,技术总工
嵌入式,7k-12k,上海 徐汇区 徐家汇,经验不限,本科,上海飞灵信息科技...,智能硬件,未融资,0-20人,高先生,经理
嵌入式,10k-20k,大连  ,3-5年,本科,邦尼汽车电子,计算机软件,天使轮,100-499人,叶先生,人力资源经理
嵌入式讲师,8k-13k,北京 海淀区 西三旗,1-3年,本科,华清远见,培训机构,不需要融资,500-999人,王女士,招聘者
嵌入式软件测试,8k-13k,成都 郫都区 高新西,3-5年,本科,长城开发,智能硬件,不需要融资,1000-9999人,贾女士,Recruiter
