title , salary ,city,position, working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name 
产品总监,40-80K,北京,5-10年,本科,大地宏图,互联网,不需要融资,100-499人,郭女士,招聘经理
产品经理,14-18K,上海,3-5年,本科,上海南天,计算机软件,已上市,1000-9999人,许女士,人力资源助理
产品专员,3-6K,邢台,1-3年,本科,今麦郎面品,其他行业,未融资,10000人以上,刘先生,招聘经理
产品专家,30-55K,北京,5-10年,本科,梦想加,互联网,C轮,500-999人,张女士,人力资源
产品经理,9-13K,上海,1-3年,大专,酷客多,移动互联网,A轮,100-499人,薛女士,人事
产品推广,8-13K,漳州,经验不限,学历不限,超盟金服,移动互联网,A轮,1000-9999人,谢先生,城市经理
服务产品经理,15-25K,上海,3-5年,本科,携程旅行网,互联网,已上市,10000人以上,周女士,人事经理
产品经理,12-24K,南京,3-5年,本科,苏宁易购,电子商务,已上市,10000人以上,祁先生,招聘者
产品经理,12-16K,南京,经验不限,本科,Suning,批发/零售,已上市,10000人以上,刘先生,经理
产品经理,6-10K,南京,1-3年,本科,苏博医学,医疗健康,已上市,1000-9999人,侯先生,招聘经理
产品经理,10-19K,北京,3-5年,本科,中科金审,数据服务,B轮,100-499人,李女士,招聘经理
产品经理,25-50K,北京,5-10年,本科,同程艺龙,互联网,已上市,1000-9999人,韩先生,招聘经理
商业产品经理,20-30K,北京,5-10年,本科,京东集团,电子商务,已上市,10000人以上,马女士,招聘经理
产品助理,5-8K,东莞,1-3年,大专,房金网,地产经纪/中介,未融资,1000-9999人,陈先生,招聘者
产品经理,15-30K,广州,1-3年,本科,视源股份(CVTE),其他行业,已上市,1000-9999人,谢女士,招聘者
售前产品顾问,7-10K,长沙,经验不限,本科,奥威亚,互联网,已上市,500-999人,李女士,hrbp
产品经理,15-30K,绍兴,3-5年,本科,宇石网络,互联网,B轮,500-999人,张先生,招聘专员
产品经理,15-20K,上海,5-10年,本科,易班网,互联网,不需要融资,500-999人,吕女士,HR
产品总监,20-40K,北京,3-5年,本科,魔力耳朵,互联网,B轮,500-999人,金先生,CEO
产品助理,10-15K,南京,1年以内,本科,vivo,移动互联网,不需要融资,10000人以上,吴先生,产品经理
WMS产品经理,18-35K,北京,5-10年,本科,京东集团,电子商务,已上市,10000人以上,徐女士,招聘者
产品经理,10-15K,北京,3-5年,大专,微医集团,互联网,D轮及以上,1000-9999人,王女士,HRPB
产品咨询顾问,15-20K,北京,3-5年,本科,捷德中国,计算机软件,不需要融资,1000-9999人,何女士,Recruiter
产品经理,6-7K,上海,应届生,硕士,平安科技,计算机软件,不需要融资,1000-9999人,张女士,hr
产品经理,10-17K,上海,3-5年,本科,喔趣科技,互联网,B轮,100-499人,朱女士,人力资源经理
产品经理,10-20K,杭州,1-3年,本科,和仁科技,计算机软件,已上市,500-999人,徐女士,招聘经理
产品经理,10-15K,武汉,3-5年,本科,人人网,社交网络,已上市,1000-9999人,雷女士,人力资源经理
市场（产品）经理,10-20K,厦门,1-3年,本科,网宿科技,互联网,已上市,1000-9999人,胡女士,招聘HR
产品经理,10-15K,青岛,3-5年,本科,海尔集团,互联网,已上市,10000人以上,孙先生,招聘者
